                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 2.6944,                0.72159,                 1.0728,                0.81973,                0.71605,                0.77402,                0.44146,                 2.6468,                0.73867,                  1.079,             0.00064355,             0.00064355,             0.00064355
                     88,                 2.7152,                0.71154,                 1.0803,                0.83017,                0.73372,                0.77498,                0.44616,                 2.6117,                0.75891,                 1.0808,             0.00063805,             0.00063805,             0.00063805
                     89,                 2.6758,                0.70933,                 1.0752,                0.85467,                0.74095,                0.77941,                0.45655,                 2.6508,                0.75653,                 1.0717,             0.00063255,             0.00063255,             0.00063255
                     90,                 2.6948,                0.70567,                 1.0727,                0.84779,                 0.7391,                0.77506,                0.44998,                 2.6485,                0.75146,                 1.0718,             0.00062705,             0.00062705,             0.00062705
                     91,                 2.6499,                0.71557,                 1.0649,                0.84253,                0.74408,                0.78717,                0.46913,                 2.6631,                0.73007,                  1.073,             0.00062155,             0.00062155,             0.00062155
                     92,                 2.6682,                0.70384,                  1.072,                0.82435,                0.72268,                0.76413,                0.44669,                 2.6296,                0.73235,                  1.071,             0.00061605,             0.00061605,             0.00061605
                     93,                 2.6812,                 0.6986,                 1.0665,                0.80959,                0.73806,                0.77922,                0.43602,                 2.5715,                0.73262,                 1.0784,             0.00061055,             0.00061055,             0.00061055
                     94,                 2.6213,                0.70202,                 1.0646,                0.78176,                0.73765,                0.76072,                0.44096,                 2.5947,                0.73911,                 1.0693,             0.00060505,             0.00060505,             0.00060505
                     95,                 2.6221,                0.69353,                 1.0697,                0.80711,                0.72622,                0.77784,                0.45831,                 2.5692,                 0.7336,                 1.0665,             0.00059955,             0.00059955,             0.00059955
                     96,                 2.6205,                0.69747,                   1.06,                0.77767,                0.75108,                0.78142,                0.44781,                 2.5634,                0.73785,                 1.0723,             0.00059405,             0.00059405,             0.00059405
                     97,                 2.5857,                0.70352,                 1.0618,                0.79811,                0.76254,                0.79209,                0.46133,                  2.551,                 0.7252,                 1.0685,             0.00058855,             0.00058855,             0.00058855
                     98,                 2.5866,                0.70132,                  1.062,                0.82923,                0.72606,                0.78376,                0.46117,                 2.5021,                 0.7312,                 1.0728,             0.00058305,             0.00058305,             0.00058305
                     99,                 2.6173,                0.69031,                 1.0601,                0.84181,                0.75518,                0.79969,                0.46468,                 2.5269,                0.72134,                 1.0678,             0.00057755,             0.00057755,             0.00057755
                    100,                 2.5709,                0.69097,                 1.0644,                0.78859,                0.75949,                0.78754,                0.45927,                 2.4869,                0.72635,                 1.0718,             0.00057205,             0.00057205,             0.00057205
                    101,                 2.5985,                 0.6846,                 1.0598,                0.82034,                0.73201,                0.77977,                0.46442,                 2.5154,                0.70656,                 1.0674,             0.00056655,             0.00056655,             0.00056655
                    102,                 2.5597,                0.68954,                 1.0602,                0.83581,                0.73675,                 0.7844,                0.46812,                 2.4926,                0.70975,                  1.065,             0.00056105,             0.00056105,             0.00056105
                    103,                 2.5483,                0.68971,                 1.0568,                0.81122,                0.76991,                0.79214,                0.47913,                 2.5293,                0.70492,                 1.0582,             0.00055556,             0.00055556,             0.00055556
